bird,feature
sighting1,nostrils tubular
sighting1,lives at sea
sighting1,bill hooked
sighting1,size large
sighting1,wings long narrow
sighting1,colour white
sighting2,nostrils tubular
sighting2,lives at sea
sighting2,bill hooked
sighting2,size large
sighting2,wings long narrow
sighting2,colour dark
sighting3,nostrils tubular
sighting3,lives at sea
sighting3,bill hooked
sighting3,size medium
sighting3,flight flapping
sighting4,feet webbed
sighting4,bill flat
sighting4,neck long
sighting4,colour white
sighting4,voice loud trumpeting
sighting5,feet webbed
sighting5,bill flat
sighting5,neck short
sighting5,quacks
sighting5,head green
sighting6,eats meat
sighting6,feet curved talons
sighting6,bill sharp hooked
sighting6,wings long pointed
sighting6,tail narrow
sighting6,colour breast rust
sighting7,feet webbed
sighting7,bill flat
sighting7,neck short
sighting7,quacks
sighting8,lives at sea
sighting8,size large
